1,0,1021,515,3,356,28500,88,88,
2,0,1021,515,6,348,28432,80,80,
3,0,1021,515,4,359,28106,84,84,
4,0,1021,515,4,363,27712,86,86,
5,0,1021,515,4,374,26426,86,86,
6,0,1021,515,4,378,26032,80,80,
7,1,1053,515,5,381,25702,82,82,
8,1,1053,515,5,384,25308,78,78,
9,1,1099,515,5,392,24450,82,82,
10,2,1099,515,5,396,24056,78,78,
11,3,1126,515,5,398,23726,80,80,
12,4,1126,515,5,402,23332,76,76,
13,20,1179,490,5,425,23264,80,80,
14,20,1179,490,5,428,22870,76,76,
15,24,1235,490,5,432,22516,78,78,
16,24,1235,490,5,435,22122,78,78,
17,24,1235,490,5,435,22070,78,78,
18,24,1235,490,5,439,21676,78,78,
19,26,1235,490,5,443,21282,74,74,
20,403,1188,550,6,395,21194,74,74,
21,1671,1258,508,6,431,20754,72,72,
