1,0,720,1659,1021,384,1659,515,7,817,68764,84,84,
2,3,720,1659,1021,384,1659,515,8,824,68194,80,80,
3,3,720,1659,1021,384,1659,515,8,854,65794,80,80,
4,3,720,1659,1021,384,1659,515,8,856,65642,80,80,
5,4,720,1659,1021,384,1659,515,8,857,65610,80,80,
6,8,720,1659,1021,384,1659,515,8,857,65550,80,80,
7,14,720,1659,1021,384,1659,515,8,868,64654,76,76,
8,15,720,1659,1021,384,1659,515,8,869,64594,76,76,
9,15,720,1659,1021,384,1659,515,8,876,64024,76,76,
10,15,720,1659,1021,384,1659,515,8,878,63932,76,76,
11,15,720,1659,1021,384,1659,515,8,878,63872,76,76,
12,16,720,1659,1021,384,1659,515,8,880,63780,76,76,
13,16,720,1659,1021,384,1659,515,8,880,63720,76,76,
14,18,720,1659,1021,384,1659,515,8,887,63210,76,76,
15,19,720,1659,1021,384,1659,515,8,891,62824,76,76,
16,19,720,1659,1021,384,1659,515,8,895,62580,76,76,
17,19,720,1659,1021,384,1659,515,8,895,62520,76,76,
18,27,720,1659,1021,384,1659,515,8,924,60240,72,72,
